"Action","Bytes Sent","Bytes Received","Elapsed Time (sec)","pkts_sent","pkts_received","15701_Source Port","6666_Source Port","33453_Source Port","47063_Source Port","1038_Source Port","55043_Source Port","65270_Source Port","53353_Source Port","6546_Source Port","38565_Source Port","63765_Source Port","36712_Source Port","38852_Source Port","6712_Source Port","14360_Source Port","11983_Source Port","57325_Source Port","3117_Source Port","64878_Source Port","30046_Source Port","1865_Source Port","42030_Source Port","53928_Source Port","48258_Source Port","61085_Source Port","3410_Source Port","59965_Source Port","4545_Source Port","30129_Source Port","8080_Source Port","65228_Source Port","1025_Source Port","19068_Source Port","43747_Source Port","59326_Source Port","9327_Source Port","48016_Source Port","37008_Source Port","48478_Source Port","55893_Source Port","14185_Source Port","10532_Source Port","18415_Source Port","13840_Source Port","14023_Source Port","5228_Source Port","46116_Source Port","31845_Source Port","46275_Source Port","1955_Source Port","1660_Source Port","24351_Source Port","12226_Source Port","5617_Source Port","6247_Source Port","5955_Source Port","48676_Source Port","10003_Source Port","2707_Source Port","59523_Source Port","42231_Source Port","50084_Source Port","35657_Source Port","26531_Source Port","55600_Source Port","29145_Source Port","27679_Source Port","61185_Source Port","1026_Source Port","56127_Source Port","25523_Source Port","515_Source Port","39313_Source Port","1036_Source Port","30654_Source Port","45682_Source Port","54684_Source Port","1114_Source Port","19747_Source Port","42034_Source Port","10914_Source Port","59696_Source Port","48817_Source Port","14397_Source Port","24144_Source Port","42285_Source Port","50734_Source Port","7222_Source Port","20576_Source Port","52973_Source Port","17781_Source Port","44147_Source Port","33215_Source Port","11967_Source Port","28221_Source Port","25961_Source Port","62792_Source Port","20706_Source Port","51999_Source Port","43578_Source Port","11716_Source Port","49001_Source Port","24504_Source Port","8239_Source Port","11859_Source Port","59592_Source Port","8999_Source Port","12986_Source Port","33405_Source Port","1873_Source Port","63331_Source Port","50_Source Port","58338_Source Port","44411_Source Port","19698_Source Port","40512_Source Port","16387_Source Port","43129_Source Port","9687_Source Port","28124_Source Port","65317_Source Port","35261_Source Port","33896_Source Port","9494_Source Port","65494_Source Port","2705_Source Port","1972_Source Port","20939_Source Port","13911_Source Port","60192_Source Port","60312_Source Port","17579_Source Port","44849_Source Port","43916_Source Port","30114_Source Port","22683_Source Port","50280_Source Port","46495_Source Port","4269_Source Port","33822_Source Port","58486_Source Port","10006_Source Port","40547_Source Port","46093_Source Port","2697_Source Port","26528_Source Port","60196_Source Port","26053_Source Port","6057_Source Port","9092_Source Port","12694_Source Port","2704_Source Port","37965_Destination Port","3389_Destination Port","49988_Destination Port","14591_Destination Port","5000_Destination Port","57470_Destination Port","3385_Destination Port","3855_Destination Port","35385_Destination Port","26467_Destination Port","32965_Destination Port","51505_Destination Port","51221_Destination Port","45788_Destination Port","53_Destination Port","123_Destination Port","44683_Destination Port","25174_Destination Port","25_Destination Port","17372_Destination Port","36237_Destination Port","1900_Destination Port","50584_Destination Port","9986_Destination Port","4205_Destination Port","22114_Destination Port","56513_Destination Port","42707_Destination Port","49903_Destination Port","45711_Destination Port","48637_Destination Port","26672_Destination Port","138_Destination Port","54507_Destination Port","3434_Destination Port","55777_Destination Port","35974_Destination Port","31061_Destination Port","8696_Destination Port","7774_Destination Port","55559_Destination Port","2228_Destination Port","55160_Destination Port","53395_Destination Port","37_Destination Port","8168_Destination Port","54532_Destination Port","2222_Destination Port","10214_Destination Port","16010_Destination Port","38956_Destination Port","28189_Destination Port","6889_Destination Port","61686_Destination Port","51413_Destination Port","50265_Destination Port","62732_Destination Port","55783_Destination Port","57587_Destination Port","40108_Destination Port","5555_Destination Port","44818_Destination Port","7461_Destination Port","17500_Destination Port","53945_Destination Port","3369_Destination Port","60496_Destination Port","502_Destination Port","10010_Destination Port","8455_Destination Port","35244_Destination Port","5333_Destination Port","43775_Destination Port","26296_Destination Port","21557_Destination Port","23_Destination Port","2666_Destination Port","62451_Destination Port","60461_Destination Port","48346_Destination Port","35440_Destination Port","20995_Destination Port","20087_Destination Port","46478_Destination Port","3655_Destination Port","22272_Destination Port","20045_Destination Port","7205_Destination Port","35583_Destination Port","16862_Destination Port","21_Destination Port","65151_Destination Port","39210_Destination Port","4607_Destination Port","35447_Destination Port","161_Destination Port","24051_Destination Port","32661_Destination Port","44091_Destination Port","33720_Destination Port","28417_Destination Port","20220_Destination Port","12446_Destination Port","29326_Destination Port","1210_Destination Port","48817_NAT Source Port","6881_NAT Destination Port","6889_NAT Destination Port","51413_NAT Destination Port","Source Port (right)","Destination Port (right)","NAT Source Port (right)","NAT Destination Port (right)","Count(Action)","52459_Source Port","45941_Source Port","48706_Source Port","51414_Source Port","10669_Source Port","19875_Source Port","0_Source Port","68_Source Port","50052_Source Port","58638_Source Port","5588_Source Port","61550_Source Port","6881_Source Port","443_Source Port","43260_Source Port","45964_Source Port","54280_Source Port","45908_Source Port","57131_Source Port","11136_Source Port","13285_Source Port","5223_Source Port","34932_Source Port","1024_Source Port","50116_Source Port","47910_Source Port","43584_Source Port","42252_Source Port","80_Source Port","3478_Source Port","57987_Source Port","50470_Source Port","33890_Destination Port","23386_Destination Port","23393_Destination Port","22_Destination Port","49756_Destination Port","30170_Destination Port","23388_Destination Port","0_Destination Port","67_Destination Port","65008_Destination Port","5900_Destination Port","5588_Destination Port","5529_Destination Port","6881_Destination Port","50238_Destination Port","41615_Destination Port","2225_Destination Port","3398_Destination Port","33330_Destination Port","35776_Destination Port","19910_Destination Port","29892_Destination Port","14446_Destination Port","3111_Destination Port","3383_Destination Port","38608_Destination Port","44847_Destination Port","64147_Destination Port","15503_Destination Port","7454_Destination Port","24748_Destination Port","64347_Destination Port","33303_Destination Port","37649_Destination Port","61463_Destination Port","9918_Destination Port","56125_Destination Port","0_NAT Source Port","58638_NAT Source Port","50116_NAT Source Port","0_NAT Destination Port","5900_NAT Destination Port","22_NAT Destination Port"
"deny",146,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15701,37965,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52459,33890,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666,3389,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,49988,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45941,23386,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48706,23393,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48706,23393,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33453,64147,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51414,22,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"deny",131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,14591,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
