"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
18,40.65599,-73.97519,12,1,1,1,1,1,0,1,0,"$50  AND $100"
101,40.86754,-73.92639,1,1,1,1,0,1,0,1,0,"$50  AND $100"
18,40.66278,-73.97966,1,1,1,1,0,0,1,0,0,">  $100"
58,40.65944,-73.96238,1,1,1,1,0,1,1,0,0,">  $100"
18,40.6734299999999,-73.98338,12,2,2,1,0,0,1,0,0,">  $100"
101,40.72912,-73.98057,1,1,1,1,0,0,0,1,0,"$30  AND $50"
18,40.71561,-73.94835,1,1.5,1,1,0,1,1,0,0,">  $100"
18,40.69546,-73.93503,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.73194,-73.99474,1,1,1,1,0,0,1,0,0,">  $100"
80,40.81583,-73.94707,1,1,1,1,0,1,0,1,0,">  $100"
181,40.7069,-73.95467,1,1,1,3,0,0,0,1,0,"$50  AND $100"
128,40.67319,-73.97323,1,1,1,1,0,0,1,0,0,">  $100"
18,40.6715,-73.94808,1,1,1,1,0,1,0,1,0,"$30  AND $50"
75,40.72488,-73.95018,1,1,2,1,0,0,0,1,0,"$50  AND $100"
18,40.68674,-73.98876,21,2.5,2,2,0,0,1,0,0,">  $100"
75,40.7377599999999,-73.9532699999999,5,1,1,2,0,0,0,1,0,">  $100"
181,40.7205,-73.96015,12,2,2,3,0,1,1,0,0,">  $100"
18,40.73813,-73.95394,5,1,1,1,0,0,0,1,0,">  $100"
18,40.71055,-73.95098,1,1,1,1,0,1,1,0,0,">  $100"
32,40.6841299999999,-73.96542,12,1.5,1,3,1,1,0,1,0,">  $100"
101,40.72255,-73.99346,1,1,2,2,0,0,1,0,0,">  $100"
18,40.72489,-73.95494,1,1,1,1,0,0,1,0,0,">  $100"
101,40.77724,-73.98109,1,1,1,1,0,0,1,0,0,">  $100"
18,40.71309,-73.94128,1,1,1,1,0,0,0,1,0,"$50  AND $100"
24,40.68252,-73.99619,1,2,3,4,0,0,1,0,0,">  $100"
27,40.74342,-73.99483,1,1,1,1,1,1,1,0,0,">  $100"
18,40.6788,-73.97643,3,3,1,4,0,1,0,1,0,"$50  AND $100"
73,40.60452,-73.97103,1,1,1,1,1,0,1,0,0,">  $100"
75,40.72315,-73.95226,21,2,3,4,1,1,1,0,0,">  $100"
101,40.73939,-73.9961199999999,12,1.5,2,2,0,0,1,0,0,">  $100"
