"host_is_superhost"	"host_identity_verified"	"bathrooms"	"bedrooms"	"beds"	"Private room"	"Entire home/apt"	"Shared room"	"Real Bed"	"Pull-out Sofa"	"Futon"	"Airbed"	"Couch"	"price"
0	1	1	1	1	1	0	0	1	0	0	0	0	149
0	1	1	1	1	1	0	0	0	1	0	0	0	150
0	1	1	2	2	0	1	0	1	0	0	0	0	190
1	0	1	1	1	1	0	0	1	0	0	0	0	60
0	1	1	1	1	1	0	0	1	0	0	0	0	80
0	0	1	1	2	1	0	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	120
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	2	2	0	1	0	1	0	0	0	0	115
0	1	1	1	1	0	1	0	1	0	0	0	0	200
0	1	1	1	1	1	0	0	1	0	0	0	0	110
0	1	2	2	1	0	1	0	1	0	0	0	0	225
0	1	2	1	2	0	1	0	1	0	0	0	0	130
0	1	1	1	1	1	0	0	1	0	0	0	0	50
0	1	1	1	2	1	0	0	1	0	0	0	0	98
0	1	1	1	1	1	0	0	1	0	0	0	0	89
0	1	1	1	1	1	0	0	1	0	0	0	0	60
0	1	2	3	3	0	1	0	1	0	0	0	0	200
0	1	1	1	2	1	0	0	1	0	0	0	0	125
0	1	1	1	1	0	1	0	0	0	1	0	0	140
1	0	2	2	4	0	1	0	1	0	0	0	0	350
0	1	1.5	2	6	0	1	0	1	0	0	0	0	400
0	1	1	1	2	0	1	0	0	1	0	0	0	170
0	1	1	1	1	1	0	0	1	0	0	0	0	75
0	0	1	1	1	1	0	0	1	0	0	0	0	90
0	1	1	3	1	1	0	0	1	0	0	0	0	77
1	1	1	3	3	0	1	0	1	0	0	0	0	250
0	1	1.5	1	1	0	1	0	1	0	0	0	0	199
0	0	1	2	1	0	1	0	1	0	0	0	0	140
0	0	1	1	1	1	0	0	1	0	0	0	0	140
0	1	1	1	1	0	1	0	1	0	0	0	0	160
0	1	1	2	4	0	1	0	1	0	0	0	0	115
0	1	1	1	1	0	1	0	1	0	0	0	0	250
0	1	1	1	3	0	1	0	1	0	0	0	0	80
1	1	1	2	2	0	1	0	1	0	0	0	0	100
0	1	2.5	5	10	0	1	0	1	0	0	0	0	350
0	1	1	1	1	1	0	0	1	0	0	0	0	130
0	0	1	1	2	0	1	0	1	0	0	0	0	195
0	0	1	1	1	1	0	0	1	0	0	0	0	80
0	1	1	2	1	1	0	0	1	0	0	0	0	140
0	1	1	1	1	0	0	1	0	0	1	0	0	105
0	1	1	1	1	1	0	0	1	0	0	0	0	200
0	0	1	1	2	0	1	0	1	0	0	0	0	140
0	1	1	1	1	0	1	0	1	0	0	0	0	239
0	1	1	3	1	0	1	0	1	0	0	0	0	140
0	1	1	2	3	0	1	0	1	0	0	0	0	250
0	1	1	1	1	0	1	0	1	0	0	0	0	225
0	0	1	1	1	1	0	0	0	0	0	1	0	175
0	1	1	3	3	0	1	0	1	0	0	0	0	195
0	0	1.5	1	1	1	0	0	1	0	0	0	0	80
0	1	2	1	1	1	0	0	1	0	0	0	0	60
0	1	1	1	2	1	0	0	1	0	0	0	0	90
1	1	1	1	2	1	0	0	1	0	0	0	0	75
0	0	1	1	3	1	0	0	1	0	0	0	0	60
0	0	1	1	1	0	1	0	1	0	0	0	0	200
0	0	1	1	1	1	0	0	1	0	0	0	0	70
0	0	1	1	2	0	1	0	1	0	0	0	0	90
0	0	1	1	1	1	0	0	1	0	0	0	0	60
0	0	1	2	2	0	1	0	1	0	0	0	0	129
0	0	1	1	1	1	0	0	1	0	0	0	0	75
0	1	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	1	1	1	0	0	1	0	0	0	0	49
0	1	1	1	1	0	1	0	1	0	0	0	0	140
0	1	1	1	1	1	0	0	1	0	0	0	0	125
0	0	1	1	1	0	1	0	1	0	0	0	0	90
0	0	1	2	1	1	0	0	1	0	0	0	0	55
0	1	2.5	2	2	0	1	0	1	0	0	0	0	135
0	1	2.5	3	4	0	1	0	1	0	0	0	0	350
0	1	1	1	2	1	0	0	1	0	0	0	0	349
0	1	1	1	2	1	0	0	1	0	0	0	0	349
0	1	1	1	2	1	0	0	1	0	0	0	0	249
0	1	2	2	3	0	1	0	1	0	0	0	0	199
0	1	1	1	1	1	0	0	1	0	0	0	0	179
0	1	1.5	3	3	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	79
0	1	1	1	1	0	1	0	1	0	0	0	0	140
0	1	1	2	4	0	1	0	1	0	0	0	0	200
1	1	1.5	1	3	1	0	0	1	0	0	0	0	165
0	1	1	1	1	0	1	0	1	0	0	0	0	125
0	0	1	1	1	0	1	0	1	0	0	0	0	130
0	0	1	1	1	1	0	0	1	0	0	0	0	70
0	1	1	1	1	0	1	0	1	0	0	0	0	100
0	1	1	3	4	0	1	0	1	0	0	0	0	165
0	1	1	1	1	1	0	0	1	0	0	0	0	90
0	1	1	1	1	1	0	0	1	0	0	0	0	87
0	1	2	1	1	1	0	0	1	0	0	0	0	85
0	0	1	2	1	0	1	0	1	0	0	0	0	125
0	1	3	3	3	0	1	0	1	0	0	0	0	250
0	1	1	1	2	0	1	0	1	0	0	0	0	141
0	0	1	2	2	0	1	0	1	0	0	0	0	375
0	1	1	1	2	0	1	0	1	0	0	0	0	145
0	0	1	1	1	0	1	0	1	0	0	0	0	200
0	1	1	2	2	0	1	0	1	0	0	0	0	95
0	0	1	1	1	0	1	0	1	0	0	0	0	175
0	0	1	2	2	0	1	0	1	0	0	0	0	250
0	1	1	3	3	0	1	0	1	0	0	0	0	250
1	1	1	1	1	1	0	0	1	0	0	0	0	98
0	0	1	1	1	0	1	0	0	0	1	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	130
0	0	1	1	1	0	1	0	1	0	0	0	0	200
0	1	1	1	1	1	0	0	1	0	0	0	0	90
0	1	2.5	4	5	0	1	0	1	0	0	0	0	500
0	1	2	3	4	0	1	0	1	0	0	0	0	350
1	1	1	1	1	0	1	0	1	0	0	0	0	205
0	1	2	2	4	0	1	0	1	0	0	0	0	219
0	1	3	1	4	1	0	0	1	0	0	0	0	60
0	1	2.5	2	4	0	1	0	1	0	0	0	0	250
1	0	1	1	1	0	1	0	1	0	0	0	0	106
0	0	1	1	1	0	1	0	0	0	0	1	0	79
0	1	1.5	1	1	1	0	0	1	0	0	0	0	170
0	0	1	2	1	0	1	0	1	0	0	0	0	150
1	0	2	3	4	0	1	0	1	0	0	0	0	500
0	0	1.5	2	2	0	1	0	1	0	0	0	0	429
0	1	1	2	3	0	1	0	1	0	0	0	0	300
0	1	1	1	1	1	0	0	1	0	0	0	0	100
