,codigo,barrio
0,0,Allerton
1,1,Alphabet City
2,2,Annadale
3,3,Astoria
4,4,Bath Beach
5,5,Battery Park City
6,6,Bay Ridge
7,7,Baychester
8,8,Bayside
9,9,Bedford Park
10,10,Bedford-Stuyvesant
11,11,Belmont
12,12,Bensonhurst
13,13,Bergen Beach
14,14,Boerum Hill
15,15,Borough Park
16,16,Brighton Beach
17,17,Bronxdale
18,18,Brooklyn
19,19,Brooklyn Heights
20,20,Brooklyn Navy Yard
21,21,Brownsville
22,22,Bushwick
23,23,Canarsie
24,24,Carroll Gardens
25,25,Castle Hill 
26,26,Castleton Corners
27,27,Chelsea
28,28,Chinatown
29,29,City Island
30,30,Civic Center
31,31,Claremont
32,32,Clinton Hill
33,33,Cobble Hill
34,34,College Point
35,35,Columbia Street Waterfront
36,36,Concord
37,37,Concourse
38,38,Concourse Village
39,39,Coney Island
40,40,Corona
41,41,Crotona
42,42,Crown Heights
43,43,DUMBO
44,44,Ditmars / Steinway
45,45,Dongan Hills
46,46,Downtown Brooklyn
47,47,Dyker Heights
48,48,East Elmhurst
49,49,East Flatbush
50,50,East Harlem
51,51,East New York
52,52,East Village
53,53,Eastchester
54,54,Edenwald
55,55,Elm Park
56,56,Elmhurst
57,57,Financial District
58,58,Flatbush
59,59,Flatiron District
60,60,Flatlands
61,61,Flushing
62,62,Fordham
63,63,Forest Hills
64,64,Fort Greene
65,65,Fort Hamilton
66,66,Fresh Meadows
67,67,Glendale
68,68,Gowanus
69,69,Gramercy Park
70,70,Graniteville
71,71,Grant City
72,72,Grasmere
73,73,Gravesend
74,74,Great Kills
75,75,Greenpoint
76,76,Greenwich Village
77,77,Greenwood Heights
78,78,Grymes Hill
79,79,Hamilton Heights
80,80,Harlem
81,81,Hell's Kitchen
82,82,Highbridge
83,83,Hillcrest
84,84,Howard Beach
85,85,Hudson Square
86,86,Hunts Point
87,87,Inwood
88,88,Jackson Heights
89,89,Jamaica
90,90,Kensington
91,91,Kew Garden Hills
92,92,Kingsbridge
93,93,Kingsbridge Heights
94,94,Kips Bay
95,95,Lefferts Garden
96,96,Lindenwood
97,97,Little Italy
98,98,Long Island City
99,99,Longwood
100,100,Lower East Side
101,101,Manhattan
102,102,Manhattan Beach
103,103,Marble Hill
104,104,Mariners Harbor
105,105,Maspeth
106,106,Meatpacking District
107,107,Meiers Corners
108,108,Melrose
109,109,Middle Village
110,110,Midland Beach
111,111,Midtown
112,112,Midtown East
113,113,Midwood
114,114,Morningside Heights
115,115,Morris Heights
116,116,Morris Park
117,117,Morrisania
118,118,Mott Haven
119,119,Murray Hill
120,120,New Brighton
121,121,New Dorp Beach
122,122,New Springville
123,123,Noho
124,124,Nolita
125,125,Norwood
126,126,Oakwood
127,127,Ozone Park
128,128,Park Slope
129,129,Park Versailles
130,130,Parkchester
131,131,Pelham Bay
132,132,Port Morris
133,133,Port Richmond
134,134,Prince's Bay
135,135,Prospect Heights
136,136,Queens
137,137,Red Hook
138,138,Rego Park
139,139,Richmond Hill
140,140,Ridgewood
141,141,Riverdale
142,142,Roosevelt Island
143,143,Rosebank
144,144,Sea Gate
145,145,Sheepshead Bay
146,146,Soho
147,147,Soundview
148,148,South Beach
149,149,South Ozone Park
150,150,South Street Seaport
151,151,Spuyten Duyvil
152,152,St. George
153,153,Stapleton
154,154,Staten Island
155,155,Sunnyside
156,156,Sunset Park
157,157,The Bronx
158,158,The Rockaways
159,159,Throgs Neck
160,160,Times Square/Theatre District
161,161,Tompkinsville
162,162,Tottenville
163,163,Tremont
164,164,Tribeca
165,165,Union Square
166,166,University Heights
167,167,Upper East Side
168,168,Upper West Side
169,169,Utopia
170,170,Van Nest
171,171,Vinegar Hill
172,172,Wakefield
173,173,Washington Heights
174,174,West Brighton
175,175,West Farms
176,176,West Village
177,177,Westchester Village
178,178,Westerleigh
179,179,Whitestone
180,180,Williamsbridge
181,181,Williamsburg
182,182,Windsor Terrace
183,183,Woodhaven
184,184,Woodlawn
185,185,Woodside
