,codigo,barrio
0,0,Aparthotel
1,1,Apartment
2,2,Barn
3,3,Bed and breakfast
4,4,Boat
5,5,Boutique hotel
6,6,Bungalow
7,7,Cabin
8,8,Camper/RV
9,9,Casa particular (Cuba)
10,10,Castle
11,11,Cave
12,12,Condominium
13,13,Cottage
14,14,Dome house
15,15,Earth house
16,16,Farm stay
17,17,Guest suite
18,18,Guesthouse
19,19,Hostel
20,20,Hotel
21,21,House
22,22,Houseboat
23,23,Loft
24,24,Other
25,25,Resort
26,26,Serviced apartment
27,27,Tent
28,28,Tiny house
29,29,Townhouse
30,30,Treehouse
31,31,Villa
32,32,Yurt
